Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,"Total, industries and households",765177,774546,775519,780254,753719,766876,780372,775612,693849,708880
Canada,"Total, industries",636925,639396,642314,647912,622641,632545,642939,639121,579689,594661
Canada,Animal food manufacturing  [BS31110],254,272,457,321,341,286,384,433,434,421
Canada,Sugar and confectionery product manufacturing  [BS31130],352,361,427,466,397,607,370,440,412,484
Canada,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],805,625,485,526,457,595,484,472,502,493
Canada,Dairy product manufacturing  [BS31150],451,540,343,385,383,392,434,510,509,524
Canada,Meat product manufacturing  [BS31160],1050,895,934,1020,1160,1201,1083,1151,1146,1187
Canada,Seafood product preparation and packaging  [BS31170],165,180,181,154,178,142,143,143,113,113
Canada,Miscellaneous food manufacturing  [BS311A0],1872,2262,2093,2209,2072,2083,2269,2302,2107,2101
Canada,Soft drink and ice manufacturing  [BS31211],192,171,186,202,223,222,197,153,127,137
Canada,Breweries  [BS31212],363,396,461,509,487,514,404,411,455,458
Canada,Wineries and distilleries  [BS3121A],234,289,290,250,264,247,287,207,221,214
Canada,Tobacco manufacturing  [BS31220],16,18,23,31,34,36,21,25,23,25
Canada,Textile and textile product mills  [BS31A00],180,260,193,162,150,154,160,166,159,170
Canada,Clothing and leather and allied product manufacturing  [BS31B00],64,82,46,61,66,57,56,60,46,49
Canada,Wood product manufacturing  [BS32100] 12,9255,10581,10887,10112,8912,11225,10746,10492,9869,10581
Canada,"Pulp, paper and paperboard mills  [BS32210] 12",39153,41143,42554,42310,39261,38411,40892,40038,35908,36831
Canada,Converted paper product manufacturing  [BS32220],495,605,613,505,474,544,546,542,583,657
Canada,Printing and related support activities  [BS32300],260,298,271,267,313,330,308,277,219,225
Canada,Petroleum and coal product manufacturing  [BS32400],24025,23265,21992,21308,22089,20252,20414,22529,19257,20509
Canada,Basic chemical manufacturing  [BS32510],13246,12349,11517,12194,11408,10759,12063,12219,12254,12446
Canada,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",6168,6758,6342,6722,6987,6216,5881,6115,6050,6071
Canada,Pharmaceutical and medicine manufacturing  [BS32540],235,190,258,263,426,297,277,274,271,264
Canada,Miscellaneous chemical product manufacturing  [BS325C0] 13,2120,2212,3028,3015,2795,2168,1709,1112,1425,1483
Canada,Plastic product manufacturing  [BS32610],630,830,723,750,804,824,676,730,660,690
Canada,Rubber product manufacturing  [BS32620],258,192,232,245,236,270,255,256,179,197
Canada,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],3438,2950,2988,3011,2761,2828,2414,2450,2294,2586
Canada,Cement and concrete product manufacturing  [BS32730],10855,10149,10604,10307,10724,11929,12139,12284,11118,12114
Canada,Primary metal manufacturing  [BS33100],24532,22771,24164,23811,24905,24413,24254,23367,20760,22244
Canada,Fabricated metal product manufacturing  [BS33200],1696,1958,1624,1596,1711,1609,1694,1697,1593,1707
Canada,Machinery manufacturing  [BS33300],860,926,891,859,778,882,871,909,756,779
Canada,Computer and peripheral equipment manufacturing  [BS33410],14,10,16,12,10,7,8,9,8,9
Canada,Electronic product manufacturing  [BS334B0],116,125,105,128,160,111,105,119,105,110
Canada,Electrical  equipment and component manufacturing  [BS335A0],207,192,170,154,152,142,141,146,117,121
Canada,Household appliance manufacturing  [BS33520],31,26,14,15,14,15,15,14,20,21
Canada,Motor vehicle manufacturing  [BS33610],638,663,687,680,616,664,737,750,555,496
Canada,Motor vehicle body and trailer manufacturing  [BS33620],101,124,95,90,88,84,79,86,63,66
Canada,Motor vehicle parts manufacturing  [BS33630],355,365,354,381,415,420,418,387,314,323
Canada,Aerospace product and parts manufacturing  [BS33640],200,272,315,345,364,384,317,369,250,267
Canada,Railroad rolling stock manufacturing  [BS33650],16,11,9,22,24,16,20,19,16,17
Canada,Ship and boat building  [BS33660],21,21,24,33,29,36,35,36,36,39
Canada,Other transportation equipment manufacturing  [BS33690],30,55,49,43,44,55,40,47,44,47
Canada,Furniture and related product manufacturing  [BS33700],445,436,322,437,475,417,379,381,309,321
Canada,Miscellaneous manufacturing  [BS33900],266,322,259,311,325,294,335,344,329,345
Canada,"Total, households",128252,135150,133205,132343,131078,134331,137433,136491,114160,114219
Canada,Households: Motor fuels and lubricants,77047,80658,78592,78447,79612,81909,83505,85102,66326,68329
Canada,Households: Electricity and other fuels,51204,54492,54613,53896,51466,52423,53928,51390,47834,45891
Newfoundland and Labrador,"Total, industries and households",9074,9167,10195,10833,11063,10843,10552,10483,8420,7694
Newfoundland and Labrador,"Total, industries",6711,6914,7674,8423,8614,8115,8005,8022,6224,5590
Newfoundland and Labrador,Animal food manufacturing  [BS31110],3,3,4,4,4,3,3,4,3,4
Newfoundland and Labrador,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Dairy product manufacturing  [BS31150],5,6,5,4,6,5,1,1,1,1
Newfoundland and Labrador,Meat product manufacturing  [BS31160],2,4,5,5,5,4,4,4,4,3
Newfoundland and Labrador,Seafood product preparation and packaging  [BS31170],35,25,24,31,54,24,25,34,35,32
Newfoundland and Labrador,Miscellaneous food manufacturing  [BS311A0],1,1,1,1,1,1,1,1,1,1
Newfoundland and Labrador,Soft drink and ice manufacturing  [BS31211],3,2,2,1,1,1,1,2,2,1
Newfoundland and Labrador,Breweries  [BS31212],15,13,15,21,14,13,14,6,9,8
Newfoundland and Labrador,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Textile and textile product mills  [BS31A00],0,0,0,1,0,0,0,0,0,0
Newfoundland and Labrador,Clothing and leather and allied product manufacturing  [BS31B00],0,0,1,6,1,0,0,1,1,0
Newfoundland and Labrador,Wood product manufacturing  [BS32100] 12,11,12,12,14,15,16,15,16,16,16
Newfoundland and Labrador,"Pulp, paper and paperboard mills  [BS32210] 12",81,109,84,81,159,205,147,18,134,130
Newfoundland and Labrador,Converted paper product manufacturing  [BS32220],0,0,0,1,0,0,0,0,0,0
Newfoundland and Labrador,Printing and related support activities  [BS32300],1,1,1,1,1,1,1,1,1,0
Newfoundland and Labrador,Petroleum and coal product manufacturing  [BS32400],984,935,901,1068,1158,948,920,1040,213,48
Newfoundland and Labrador,Basic chemical manufacturing  [BS32510],0,1,0,0,0,5,1,2,3,2
Newfoundland and Labrador,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Miscellaneous chemical product manufacturing  [BS325C0] 13,1,1,1,1,5,4,3,11,7,6
Newfoundland and Labrador,Plastic product manufacturing  [BS32610],1,1,7,10,1,0,0,0,0,0
Newfoundland and Labrador,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],1,1,1,1,1,1,0,0,0,0
Newfoundland and Labrador,Cement and concrete product manufacturing  [BS32730],8,7,3,4,14,11,27,32,62,60
Newfoundland and Labrador,Primary metal manufacturing  [BS33100],0,1,1,89,38,54,45,40,17,15
Newfoundland and Labrador,Fabricated metal product manufacturing  [BS33200],7,8,6,7,6,3,3,3,3,2
Newfoundland and Labrador,Machinery manufacturing  [BS33300],2,2,2,8,1,2,2,2,2,2
Newfoundland and Labrador,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,1,0,0
Newfoundland and Labrador,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Motor vehicle manufacturing  [BS33610],1,2,2,1,0,1,1,1,1,1
Newfoundland and Labrador,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Aerospace product and parts manufacturing  [BS33640],0,0,0,1,0,0,0,0,0,0
Newfoundland and Labrador,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Ship and boat building  [BS33660],0,2,4,4,1,1,4,0,0,0
Newfoundland and Labrador,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador,Furniture and related product manufacturing  [BS33700],1,2,1,1,2,1,1,1,1,1
Newfoundland and Labrador,Miscellaneous manufacturing  [BS33900],2,3,2,2,1,1,2,1,1,1
Newfoundland and Labrador,"Total, households",2364,2253,2522,2409,2449,2728,2547,2461,2195,2104
