Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Newfoundland and Labrador,,Kilotonnes,,,,,,,,,
,"Total, industries and households","9,074","9,167","10,195","10,833","11,063","10,843","10,552","10,483","8,420","7,694"
,"Total, industries","6,711","6,914","7,674","8,423","8,614","8,115","8,005","8,022","6,224","5,590"
,Crop and animal production  [BS11A00],157,111,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,108,98,100,92,100,107,118,118
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,0s,0s,0s,0s,0s,0s
,Cannabis production (unlicensed)  [BS111CU],..,..,1,1,1,0s,0s,1,1,1
,Forestry and logging  [BS11300],129,99,116,168,144,93,126,90,50,59
,"Fishing, hunting and trapping  [BS11400]",233,186,196,280,235,237,257,233,151,145
,Support activities for agriculture and forestry  [BS11500],17,12,21,62,66,17,30,27,8,12
,Oil and gas extraction  [BS21100],"1,155","1,367","1,515","1,312","1,466","1,521","1,970","1,787","1,573","1,357"
,Coal mining  [BS21210],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Metal ore mining  [BS21220],"1,110","1,200","1,190","1,427",936,927,737,845,821,979
,Non-metallic mineral mining and quarrying  [BS21230],9,8,12,14,14,2,4,35,39,19
,Support activities for mining and oil and gas extraction  [BS21300],186,154,187,189,321,202,305,429,284,209
,"Electric power generation, transmission and distribution  [BS22110]",770,868,"1,207","1,340","1,524","1,530","1,128","1,140",952,647
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Residential building construction  [BS23A00],27,15,17,20,27,20,27,23,43,44
,Non-residential building construction  [BS23B00],29,14,16,19,23,11,16,16,9,9
,Transportation engineering construction  [BS23C10],17,23,18,24,19,24,33,30,12,12
,Oil and gas engineering construction  [BS23C20],87,107,181,176,191,127,152,167,64,66
,Electric power engineering construction  [BS23C30],17,26,43,102,176,159,91,74,39,39
,Communication engineering construction  [BS23C40],1,3,3,2,9,10,15,9,9,9
,Other engineering construction  [BS23C50],67,22,15,15,26,34,56,44,45,48
,Repair construction  [BS23D00],18,10,15,16,22,22,34,27,19,19
,Other activities of the construction industry  [BS23E00],6,4,5,6,6,6,8,7,5,5
,Animal food manufacturing  [BS31110],3,3,4,4,4,3,3,4,3,4
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Dairy product manufacturing  [BS31150],5,6,5,4,6,5,1,1,1,1
,Meat product manufacturing  [BS31160],2,4,5,5,5,4,4,4,4,3
,Seafood product preparation and packaging  [BS31170],35,25,24,31,54,24,25,34,35,32
,Miscellaneous food manufacturing  [BS311A0],1,1,1,1,1,1,1,1,1,1
,Soft drink and ice manufacturing  [BS31211],3,2,2,1,1,1,1,2,2,1
,Breweries  [BS31212],15,13,15,21,14,13,14,6,9,8
,Wineries and distilleries  [BS3121A],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],0s,0s,0s,1,0s,0s,0s,0s,0s,0s
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,1,6,1,0s,0s,1,1,0s
,Wood product manufacturing  [BS32100] 12,11,12,12,14,15,16,15,16,16,16
,"Pulp, paper and paperboard mills  [BS32210] 12",81,109,84,81,159,205,147,18,134,130
,Converted paper product manufacturing  [BS32220],0s,0s,0s,1,0s,0s,0s,0s,0s,0s
,Printing and related support activities  [BS32300],1,1,1,1,1,1,1,1,1,0s
,Petroleum and coal product manufacturing  [BS32400],984,935,901,"1,068","1,158",948,920,"1,040",213,48
,Basic chemical manufacturing  [BS32510],0s,1,0s,0s,0s,5,1,2,3,2
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Pharmaceutical and medicine manufacturing  [BS32540],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous chemical product manufacturing  [BS325C0] 13,1,1,1,1,5,4,3,11,7,6
,Plastic product manufacturing  [BS32610],1,1,7,10,1,0s,0s,0s,0s,0s
,Rubber product manufacturing  [BS32620],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],1,1,1,1,1,1,0s,0s,0s,0s
,Cement and concrete product manufacturing  [BS32730],8,7,3,4,14,11,27,32,62,60
,Primary metal manufacturing  [BS33100],0s,1,1,89,38,54,45,40,17,15
,Fabricated metal product manufacturing  [BS33200],7,8,6,7,6,3,3,3,3,2
,Machinery manufacturing  [BS33300],2,2,2,8,1,2,2,2,2,2
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0s,0s,0s,0s,0s,0s,0s,1,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],1,2,2,1,0s,1,1,1,1,1
,Motor vehicle body and trailer manufacturing  [BS33620],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],0s,0s,0s,1,0s,0s,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Ship and boat building  [BS33660],0s,2,4,4,1,1,4,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],1,2,1,1,2,1,1,1,1,1
,Miscellaneous manufacturing  [BS33900],2,3,2,2,1,1,2,1,1,1
,Wholesale trade  [BS41000],48,50,47,52,43,51,48,45,32,32
,Retail trade  [BS4A000],100,94,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,100,120,101,103,107,101,81,78
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,0s,0s,0s
,Cannabis stores (unlicensed)  [BS453BU],..,..,0s,0s,0s,0s,0s,0s,0s,0s
,Air transportation  [BS48100],206,205,229,224,233,236,212,225,208,208
,Rail transportation  [BS48200],39,39,34,33,32,34,34,45,42,40
,Water transportation  [BS48300],373,218,209,244,186,205,236,248,170,153
,Truck transportation  [BS48400],137,131,137,131,133,137,112,91,77,85
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",32,31,34,32,41,46,34,34,29,29
,Pipeline transportation  [BS48600],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Postal service and couriers and messengers  [BS49A00],29,20,19,28,31,27,35,34,29,32
,Warehousing and storage  [BS49300],1,1,1,1,1,1,1,2,1,1
,Motion picture and sound recording industries  [BS51200],1,1,1,0s,0s,0s,0s,0s,0s,0s
,Radio and television broadcasting  [BS51510],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",18,13,15,16,91,97,126,90,50,46
,Depository credit intermediation and monetary authorities  [BS52B00],9,9,10,10,10,9,6,7,6,5
