 ,Newfoundland and Labrador,,,,,,,,,,Prince Edward Island,,,,,,,,,,Nova Scotia,,,,,,,,,,New Brunswick,,,,,,,,,,Quebec,,,,,,,,,,Ontario,,,,,,,,,,Manitoba,,,,,,,,,,Saskatchewan,,,,,,,,,,Alberta,,,,,,,,,,British Columbia,,,,,,,,,
North American Industry Classification System (NAICS) 4,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, all industries 6",239.9,241.9,239.6,239.6,234.5,225.7,226.7,229.9,215.5,222.8,72.9,73.8,73.3,72.9,72.5,75.0,77.0,79.5,76.8,79.9,458.1,455.3,448.0,444.3,443.2,447.1,451.8,464.6,443.3,468.1,355.0,357.6,357.6,354.8,357.6,360.1,361.4,363.6,352.4,363.5,"4,013.8","4,053.3","4,033.3","4,050.2","4,073.3","4,177.7","4,253.3","4,330.7","4,096.8","4,273.4","6,702.9","6,806.9","6,840.0","6,887.0","6,956.4","7,117.3","7,245.9","7,429.2","7,025.9","7,393.3",621.3,626.8,628.3,637.4,637.6,648.1,654.0,661.4,632.6,656.2,549.6,563.5,566.9,565.2,561.1,562.5,566.5,576.9,547.5,561.7,"2,166.6","2,211.1","2,246.9","2,265.6","2,204.6","2,221.1","2,280.1","2,307.8","2,143.7","2,259.6","2,295.6","2,322.0","2,349.3","2,388.9","2,467.9","2,560.3","2,606.4","2,677.7","2,509.2","2,663.9"
Goods-producing sector 7,54.0,56.4,56.7,56.6,52.5,46.8,47.1,47.9,43.0,45.7,17.9,17.6,17.5,16.9,16.8,17.5,19.3,19.9,19.3,19.4,90.0,88.9,84.4,83.8,81.8,82.0,82.1,87.5,86.4,90.9,77.1,78.9,77.8,73.4,74.1,73.1,74.2,76.8,73.3,71.3,876.1,881.4,846.4,828.7,832.6,863.3,870.4,883.5,850.4,894.2,"1,424.7","1,410.4","1,393.8","1,406.7","1,440.2","1,457.5","1,476.8","1,474.6","1,415.5","1,466.2",145.5,149.4,147.9,147.2,155.0,155.4,152.0,154.0,146.5,149.9,152.4,159.3,164.4,157.4,149.7,147.9,147.0,147.5,134.5,132.7,617.4,628.9,648.0,630.0,561.5,556.9,588.4,586.0,543.9,552.7,459.6,461.4,468.6,482.5,484.6,512.0,516.3,507.2,484.0,497.9
Agriculture 8,1.5,1.4,1.3,1.5,1.3,1.7,1.6,1.5,1.2,1.1,4.1,3.7,3.5,2.8,2.9,2.9,3.7,3.9,3.8,3.2,6.8,6.6,5.4,5.2,4.4,4.8,4.8,6.1,6.0,6.1,4.4,4.5,3.8,3.9,4.9,5.1,5.8,6.1,4.8,5.4,55.9,57.1,55.8,52.8,54.7,56.0,54.9,55.0,54.2,57.3,87.0,83.9,80.0,74.6,75.8,68.5,70.8,74.0,68.0,66.4,22.9,25.6,24.4,24.1,26.2,25.6,26.4,26.4,27.2,25.4,40.9,43.9,44.9,42.6,41.4,38.1,39.4,40.8,37.1,31.0,54.4,65.9,62.6,61.4,50.3,52.1,53.1,55.8,49.2,41.3,23.5,26.8,25.3,25.7,22.6,24.1,24.1,24.4,28.3,21.2
"Forestry, fishing, mining, quarrying, oil and gas 9 10",17.1,17.6,17.9,16.6,15.2,13.0,13.4,14.3,13.0,14.8,3.2,2.9,2.4,2.6,2.6,2.5,2.5,2.6,2.4,2.9,12.6,11.9,11.0,12.0,12.0,10.9,10.0,10.9,10.9,11.0,12.2,12.3,12.1,11.0,9.6,8.5,9.3,10.2,10.0,9.2,37.7,35.5,33.3,30.8,29.0,34.3,38.7,42.0,37.9,37.8,34.4,35.0,31.6,40.5,32.6,31.7,32.0,35.0,35.0,34.5,7.0,7.2,6.8,6.1,6.6,7.0,6.6,6.0,4.7,4.3,29.6,26.5,28.4,26.5,25.1,23.2,23.5,23.9,20.4,21.2,173.5,172.5,174.1,155.3,136.3,135.9,147.0,141.5,130.5,141.5,47.2,49.9,52.8,53.4,51.5,52.4,49.4,46.1,42.1,48.4
Forestry and logging and support activities for forestry,0.7,x,0.9,1.2,0.8,1.0,0.8,0.8,0.8,0.9,0.2,x,0.2,0.2,x,0.3,0.2,0.2,x,x,2.6,2.5,1.9,2.2,2.3,1.5,2.4,2.0,2.0,2.2,4.0,4.0,4.2,3.2,3.4,3.5,3.2,3.5,4.5,3.6,13.6,15.7,12.0,9.5,8.2,11.3,14.1,14.7,13.6,14.2,7.9,5.6,4.9,7.1,6.1,4.9,5.0,4.7,7.5,5.6,0.9,0.7,0.8,0.8,0.8,0.5,0.5,0.8,x,x,1.5,1.1,1.0,0.7,1.0,0.5,0.8,0.7,0.5,0.7,3.9,2.5,2.6,3.4,4.0,4.1,5.0,3.4,4.9,2.2,16.8,19.1,20.3,21.5,18.7,18.7,17.3,16.1,15.6,18.3
"Fishing, hunting and trapping",3.9,3.9,3.2,3.5,3.5,3.1,3.8,3.6,3.5,3.7,2.2,2.4,1.7,1.9,2.1,2.0,2.0,2.0,2.0,2.4,5.4,5.8,5.0,5.7,5.2,6.2,4.6,5.6,5.8,6.2,2.7,2.4,2.2,2.1,1.9,1.6,1.8,2.5,2.5,2.5,1.8,x,x,x,x,1.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2.1,1.5,2.0,1.9,1.7,2.3,3.3,1.8,2.7,1.9
"Mining, quarrying, and oil and gas extraction 9",12.5,13.5,13.8,11.8,10.9,8.9,8.8,9.8,8.7,10.2,0.8,0.5,0.6,0.5,0.3,0.2,0.4,0.4,0.3,0.4,4.6,3.6,4.1,4.1,4.5,3.2,3.0,3.3,3.0,2.7,5.5,5.9,5.7,5.7,4.3,3.4,4.3,4.3,3.1,3.1,22.2,18.8,20.3,20.8,20.2,21.4,23.6,26.6,23.1,22.6,25.7,28.5,26.4,32.3,26.5,26.4,26.8,30.0,26.7,28.3,5.9,6.3,6.0,5.2,5.5,6.3,5.8,4.8,4.0,3.7,28.1,25.3,27.2,25.7,24.1,22.7,22.6,23.1,19.7,20.3,169.4,169.9,171.3,151.9,132.2,131.8,142.0,138.1,125.6,139.3,28.3,29.2,30.4,30.0,31.1,31.4,28.8,28.3,23.9,28.1
Utilities,2.8,2.8,2.8,2.4,2.9,3.0,3.3,3.3,3.2,2.4,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,3.9,4.0,3.5,3.2,3.1,3.8,3.5,3.5,4.1,4.9,3.4,3.8,3.8,3.3,3.4,3.1,2.9,3.2,3.2,3.5,28.5,27.3,27.4,26.8,26.6,24.0,25.8,23.0,21.7,27.2,51.0,51.6,50.4,49.8,51.6,48.1,52.2,51.4,48.9,51.4,7.3,7.8,9.1,9.0,10.3,9.2,7.3,7.0,6.5,5.4,5.1,5.8,6.5,6.9,6.6,7.0,8.1,7.0,6.6,6.0,15.2,15.2,17.3,18.9,17.4,17.9,21.2,21.9,20.2,18.6,12.5,13.3,14.0,14.3,12.7,11.5,15.0,13.8,18.4,17.9
Construction,20.8,22.6,23.2,23.8,22.8,20.2,19.7,19.4,16.3,17.0,5.1,5.5,5.8,5.3,5.1,5.6,6.1,6.5,6.3,5.8,32.5,35.0,34.9,35.1,33.2,31.7,31.0,33.7,32.8,35.8,28.2,29.4,28.9,24.3,24.5,24.9,24.5,26.0,24.9,23.4,250.2,270.4,253.7,237.4,238.5,253.1,249.1,264.7,263.8,284.7,464.1,470.3,468.6,476.8,496.0,511.7,528.1,544.2,531.0,538.7,45.0,46.4,43.6,43.5,47.2,49.4,49.0,50.9,47.6,49.3,48.7,52.5,55.2,54.1,51.1,50.8,47.6,45.5,39.6,42.9,234.9,232.6,248.7,252.7,240.8,231.5,234.3,233.0,218.1,226.7,202.7,212.6,209.0,211.9,220.0,239.8,246.5,250.1,227.4,227.1
Manufacturing,11.9,11.9,11.5,12.3,10.4,8.8,9.0,9.4,9.3,10.4,5.3,5.1,5.6,6.0,6.0,6.3,6.8,6.6,6.6,7.1,34.3,31.4,29.6,28.4,29.0,30.8,32.8,33.4,32.6,33.0,28.9,28.8,29.1,31.0,31.7,31.4,31.6,31.3,30.5,29.8,503.7,491.1,476.2,480.9,483.9,495.8,502.0,498.9,472.7,487.2,788.2,769.6,763.1,765.1,784.1,797.6,793.7,770.0,732.6,775.2,63.2,62.4,64.1,64.5,64.7,64.2,62.8,63.8,60.5,65.5,28.2,30.5,29.4,27.3,25.5,28.8,28.3,30.3,30.8,31.6,139.3,142.8,145.4,141.7,116.7,119.5,132.9,133.9,125.9,124.6,173.7,158.8,167.7,177.2,177.8,184.2,181.4,172.7,167.8,183.4
Durables,3.5,4.2,4.9,4.5,3.6,3.3,2.8,2.9,3.0,3.2,1.6,1.7,2.2,1.8,2.1,2.3,2.5,2.7,2.4,2.3,15.3,13.3,12.9,14.0,14.1,14.7,15.3,15.2,14.5,14.4,13.4,12.8,13.4,13.1,15.9,14.6,16.3,14.5,13.9,13.3,284.4,275.6,272.4,278.7,280.1,277.9,287.3,293.0,276.4,285.0,504.3,491.9,484.6,484.5,508.9,524.4,511.4,483.4,458.8,488.0,38.1,37.6,38.3,37.4,37.7,37.7,35.9,37.8,33.7,36.2,18.0,19.1,17.8,17.7,15.7,18.1,17.0,18.4,18.8,18.7,88.8,82.8,88.9,87.2,69.5,68.9,78.4,77.6,69.3,70.8,105.4,95.1,99.6,103.7,106.4,106.9,105.8,107.3,98.8,104.2
Non-durables,8.3,7.7,6.6,7.8,6.7,5.5,6.2,6.6,6.3,7.2,3.6,3.4,3.3,4.2,3.9,4.0,4.4,3.9,4.2,4.8,19.0,18.1,16.7,14.3,14.9,16.1,17.5,18.2,18.1,18.6,15.5,16.0,15.8,17.9,15.8,16.9,15.4,16.8,16.6,16.5,219.3,215.5,203.8,202.3,203.8,217.9,214.7,205.8,196.3,202.2,283.9,277.6,278.5,280.6,275.2,273.2,282.2,286.6,273.8,287.2,25.1,24.8,25.8,27.1,27.0,26.5,26.9,26.0,26.9,29.4,10.1,11.4,11.6,9.6,9.8,10.7,11.3,11.9,11.9,12.9,50.6,59.9,56.5,54.5,47.2,50.6,54.5,56.3,56.6,53.8,68.3,63.8,68.0,73.5,71.3,77.4,75.6,65.4,68.9,79.2
Services-producing sector 11,185.8,185.5,182.9,183.1,182.0,179.0,179.7,182.0,172.5,177.1,55.0,56.2,55.7,56.0,55.6,57.5,57.8,59.7,57.6,60.4,368.1,366.4,363.6,360.5,361.5,365.1,369.7,377.1,356.9,377.2,277.9,278.7,279.9,281.4,283.5,287.0,287.2,286.8,279.1,292.2,"3,137.7","3,171.9","3,186.9","3,221.5","3,240.6","3,314.4","3,382.9","3,447.2","3,246.5","3,379.1","5,278.3","5,396.5","5,446.2","5,480.3","5,516.2","5,659.8","5,769.1","5,954.6","5,610.4","5,927.1",475.8,477.4,480.3,490.2,482.6,492.7,502.0,507.4,486.1,506.3,397.1,404.2,402.4,407.9,411.4,414.6,419.5,429.4,413.0,429.0,"1,549.2","1,582.2","1,598.9","1,635.6","1,643.1","1,664.2","1,691.7","1,721.7","1,599.7","1,706.9","1,836.1","1,860.6","1,880.6","1,906.5","1,983.3","2,048.3","2,090.1","2,170.5","2,025.2","2,165.9"
Wholesale and retail trade,37.1,36.6,38.6,41.6,42.3,39.6,37.4,37.0,35.3,38.1,9.8,10.5,11.3,11.3,10.7,11.2,11.6,11.7,11.2,11.6,78.4,79.6,77.9,73.7,74.7,78.5,80.6,82.1,68.7,71.9,55.8,57.2,59.0,58.3,60.1,58.7,55.1,53.2,54.8,57.8,636.9,655.1,648.6,661.2,663.3,668.1,681.8,681.1,653.8,659.0,"1,016.2","1,035.0","1,063.8","1,056.9","1,055.6","1,108.9","1,102.0","1,119.6","1,057.5","1,113.3",93.0,93.7,94.1,93.3,89.5,91.2,90.0,92.4,88.6,96.3,85.4,85.2,82.3,83.3,88.4,92.6,92.3,89.8,86.9,94.9,318.6,322.2,321.9,315.9,322.0,336.3,336.1,350.1,315.6,343.4,345.2,375.2,370.8,363.3,383.9,395.5,400.7,420.8,388.8,402.0
Wholesale trade,4.9,5.3,5.9,5.2,6.3,4.7,5.6,5.4,4.9,5.9,1.3,1.1,1.1,1.5,1.3,1.8,1.7,1.5,1.5,1.5,13.9,13.1,14.3,12.4,13.6,12.5,13.5,14.0,11.3,12.6,10.2,11.5,10.0,10.3,10.7,11.0,8.3,9.1,9.9,10.2,153.1,141.0,134.2,141.9,149.8,162.7,158.7,142.2,141.1,153.6,222.7,232.7,252.9,286.1,285.9,273.2,265.3,263.6,242.9,261.3,22.0,19.1,21.5,22.2,20.7,21.0,19.3,19.2,19.5,22.4,20.4,22.1,20.8,20.7,23.1,24.1,24.5,24.3,23.4,22.8,80.7,82.0,87.2,87.4,81.3,92.7,86.6,89.5,85.6,74.7,81.1,83.2,83.1,86.0,94.7,87.6,87.6,93.8,91.2,88.2
Retail trade,32.2,31.2,32.6,36.4,35.9,35.0,31.8,31.6,30.4,32.2,8.5,9.5,10.2,9.8,9.4,9.4,9.9,10.2,9.7,10.1,64.5,66.5,63.6,61.4,61.1,66.0,67.1,68.1,57.4,59.3,45.6,45.7,49.0,47.9,49.4,47.8,46.9,44.1,44.9,47.6,483.9,514.1,514.4,519.3,513.5,505.5,523.2,538.9,512.8,505.5,793.5,802.4,810.9,770.8,769.7,835.7,836.7,856.0,814.6,852.1,71.0,74.6,72.6,71.0,68.8,70.2,70.7,73.2,69.1,73.9,65.0,63.0,61.4,62.6,65.2,68.5,67.8,65.5,63.4,72.1,237.9,240.2,234.7,228.5,240.7,243.6,249.6,260.6,230.0,268.7,264.1,291.9,287.7,277.2,289.2,307.9,313.1,327.0,297.6,313.8
Transportation and warehousing,10.8,10.9,11.4,10.9,10.3,11.7,12.5,11.3,9.7,8.0,2.7,2.6,2.9,2.5,2.4,3.0,2.8,2.9,2.8,2.6,21.1,20.0,20.3,19.8,19.9,19.4,19.6,19.3,18.7,24.3,18.2,18.4,16.2,18.8,18.9,18.4,18.3,18.6,16.8,19.4,175.8,177.9,185.0,198.7,199.8,205.7,209.4,235.1,225.5,221.5,312.3,333.1,322.8,317.8,328.4,336.7,370.3,392.1,347.2,365.7,36.4,36.6,37.6,38.5,35.1,36.2,38.6,41.6,38.5,41.9,27.8,27.8,27.6,26.7,26.7,27.7,27.1,24.7,23.6,23.8,118.2,120.8,123.9,131.9,129.6,136.0,136.7,138.4,124.8,132.2,128.6,127.5,141.2,144.0,141.3,141.1,144.1,147.1,135.0,146.1
"Finance, insurance, real estate, rental and leasing",9.3,8.9,9.2,9.0,8.5,7.6,7.8,7.4,7.6,6.9,2.7,2.8,2.5,2.7,2.8,2.7,2.8,3.1,3.2,2.9,22.3,21.5,21.4,22.9,24.0,23.6,22.5,21.7,23.5,25.4,16.6,16.0,15.3,15.5,17.5,18.1,18.0,18.3,17.8,19.2,229.7,226.0,228.3,221.2,219.5,233.0,237.8,239.5,242.2,281.4,498.5,513.0,505.5,529.7,540.4,554.6,571.5,604.0,602.3,634.4,34.5,33.9,34.4,33.4,34.8,36.7,36.4,35.3,34.2,34.8,29.0,27.0,29.3,29.7,27.8,27.4,28.4,29.6,29.7,28.4,99.9,103.3,102.0,108.1,109.1,108.4,113.1,112.0,110.4,123.6,143.4,148.7,150.2,141.0,150.6,167.0,166.1,168.3,170.1,168.9
Finance and insurance,5.9,5.7,6.5,5.6,5.2,5.5,5.4,4.3,5.2,4.9,1.8,1.8,1.8,2.0,1.9,2.1,1.9,2.1,2.5,1.9,15.8,14.8,14.9,16.0,15.8,15.9,14.3,15.0,16.2,18.2,11.8,11.1,11.5,12.3,13.3,13.5,13.1,13.1,13.6,14.5,169.7,171.6,166.7,174.8,160.7,178.3,177.1,181.8,190.9,217.8,360.3,378.5,377.7,376.1,403.9,402.4,421.1,435.7,455.2,471.0,26.5,23.7,25.5,25.2,26.0,28.4,27.0,27.0,25.3,26.9,22.4,19.3,22.5,21.3,21.4,19.7,20.2,21.5,22.2,21.8,68.6,66.5,67.5,69.0,70.6,66.0,67.5,66.7,72.3,76.6,92.5,94.6,97.4,95.1,100.9,108.0,104.2,104.8,112.0,114.0
Real estate and rental and leasing,3.4,3.3,2.7,3.5,3.4,2.2,2.5,3.1,2.4,2.0,0.9,1.1,0.7,0.7,0.9,0.6,0.9,1.0,0.7,1.0,6.5,6.7,6.5,6.9,8.2,7.6,8.2,6.7,7.3,7.1,4.8,4.8,3.8,3.2,4.3,4.6,4.9,5.2,4.3,4.8,59.9,54.4,61.7,46.4,58.8,54.7,60.6,57.7,51.2,63.6,138.2,134.5,127.8,153.6,136.5,152.2,150.4,168.4,147.1,163.4,8.1,10.2,8.9,8.2,8.8,8.3,9.5,8.3,8.9,8.0,6.6,7.7,6.8,8.4,6.3,7.7,8.3,8.1,7.4,6.7,31.3,36.8,34.6,39.1,38.4,42.4,45.6,45.3,38.1,47.0,50.9,54.1,52.8,45.9,49.7,59.0,61.8,63.5,58.1,54.9
"Professional, scientific and technical services",10.1,9.7,11.4,12.0,10.4,9.8,10.6,9.9,9.0,11.3,3.4,3.3,3.1,3.1,3.5,3.4,3.7,3.7,4.1,4.2,23.9,26.4,25.9,27.3,26.6,26.6,25.3,27.1,29.8,32.9,14.9,14.3,17.1,17.0,15.4,15.9,16.7,17.8,17.5,18.4,295.3,305.4,301.5,311.1,299.7,313.6,325.7,347.1,342.8,363.4,541.9,544.4,557.0,575.4,581.9,616.1,638.0,678.5,687.9,749.5,27.6,26.8,24.9,25.6,28.4,27.9,28.3,29.9,30.4,31.6,24.6,27.0,27.9,26.0,27.6,29.7,26.8,27.2,26.1,26.2,163.2,174.3,181.3,171.3,173.4,170.3,171.6,178.1,174.2,190.2,176.7,183.3,185.3,196.1,202.3,205.8,218.5,238.5,240.0,261.4
"Business, building and other support services 12",6.9,6.6,5.9,6.7,6.3,6.8,6.1,7.5,6.5,6.6,2.1,2.1,2.2,2.5,2.4,2.2,2.0,2.3,2.2,2.4,19.9,21.6,19.8,20.4,17.2,18.2,17.8,17.2,18.2,18.2,17.2,17.7,20.0,18.2,15.8,16.7,16.6,16.0,15.1,14.9,152.6,153.1,152.7,163.4,178.8,186.2,192.1,179.7,159.2,159.0,300.2,325.7,328.6,327.0,315.4,302.8,315.8,308.5,283.9,276.0,19.4,18.7,17.5,19.6,18.5,19.7,21.5,22.9,21.3,20.1,13.3,13.1,13.1,13.8,13.0,12.7,14.5,15.3,15.6,15.2,71.2,76.9,79.1,76.6,76.3,76.9,82.9,78.9,68.0,69.3,98.6,94.2,87.2,92.1,99.8,104.1,103.3,115.3,96.9,98.6
Educational services,17.5,17.5,17.3,15.1,15.1,15.4,15.7,16.9,16.9,16.5,5.8,5.8,5.5,5.5,5.3,5.6,5.4,5.3,5.7,6.2,35.2,35.4,35.6,36.7,37.3,36.8,37.2,35.6,35.7,36.6,26.3,25.7,25.1,26.8,26.3,26.6,26.9,27.2,27.6,28.7,278.7,275.8,268.0,275.2,279.2,283.5,281.2,288.0,306.7,354.7,466.1,484.8,488.2,514.5,500.2,496.8,518.7,534.7,512.0,548.7,46.4,46.9,50.3,51.7,50.9,53.3,53.0,52.4,53.3,58.4,39.7,42.9,43.9,43.2,40.1,39.0,40.6,43.9,43.9,45.5,124.4,124.5,125.2,134.8,137.9,140.5,145.9,149.5,143.3,167.7,167.4,165.4,167.3,170.3,172.3,172.4,168.7,177.1,173.2,185.7
Health care and social assistance,38.2,38.7,37.4,36.9,39.0,41.0,40.9,40.0,40.4,43.1,9.6,10.3,10.3,9.7,10.2,10.5,9.9,10.7,10.6,11.3,68.0,67.0,68.1,70.9,71.8,69.2,67.6,74.6,72.6,78.2,52.8,54.0,53.1,51.9,53.6,57.7,58.6,58.8,57.0,56.7,528.8,550.8,561.3,563.3,557.8,560.1,582.8,604.4,580.0,580.5,759.3,776.7,792.9,800.2,824.0,850.8,848.8,890.8,853.0,899.1,92.3,95.7,99.1,102.3,101.7,101.0,103.7,104.2,101.4,105.2,71.0,73.5,72.7,74.7,77.0,77.1,79.7,80.6,81.0,87.5,234.2,236.9,242.2,260.3,263.6,265.5,274.0,284.7,285.1,306.3,264.1,261.4,268.5,286.2,297.8,310.0,327.7,328.1,321.5,351.7
"Information, culture and recreation",7.3,6.7,7.7,7.4,7.5,6.8,6.9,7.9,5.7,6.0,2.5,2.7,2.6,2.4,2.6,2.9,2.6,2.3,2.2,2.5,19.1,17.7,18.6,17.2,16.2,16.4,17.9,18.7,15.0,13.5,12.8,12.6,11.5,11.6,12.9,10.8,11.6,13.3,10.7,9.8,175.9,176.6,185.2,172.0,178.2,176.8,178.7,180.3,157.0,156.1,305.9,303.8,305.5,298.5,306.4,307.4,306.1,305.1,271.0,298.6,23.1,24.3,22.0,22.1,22.5,22.8,23.5,22.4,19.8,20.7,18.0,17.0,16.3,18.4,19.4,19.4,19.9,21.7,18.4,17.6,72.0,77.8,72.9,73.5,74.2,72.5,78.8,76.1,70.7,64.6,111.7,110.8,114.3,122.7,130.1,137.2,129.9,132.2,106.4,127.6
Accommodation and food services,14.9,15.9,14.9,15.1,15.8,14.7,16.4,16.7,14.3,11.9,5.6,5.3,5.2,5.7,5.5,5.7,6.7,6.2,4.3,4.4,31.4,31.4,31.6,29.2,28.7,29.9,33.9,34.1,28.0,28.1,22.4,24.1,23.5,24.1,22.5,24.5,24.8,23.7,20.4,20.7,258.2,252.5,266.0,277.7,280.8,279.3,275.6,260.0,186.6,180.6,422.7,435.0,446.7,445.0,441.1,447.7,464.5,459.9,346.1,372.1,39.1,39.7,39.2,40.9,40.6,43.2,42.2,42.3,35.4,32.8,32.4,34.0,34.7,37.2,37.4,35.6,34.9,38.3,26.8,27.4,145.9,140.2,142.8,152.5,146.1,146.1,135.8,136.5,110.5,112.3,187.4,183.6,186.1,176.8,185.1,195.1,200.5,202.1,173.4,177.4
Other services (except public administration),14.4,14.3,11.8,12.7,12.1,10.8,9.9,10.0,10.5,8.6,3.1,3.2,3.3,3.2,3.1,2.9,3.1,3.2,3.1,3.2,21.4,19.3,18.3,16.4,18.7,17.9,18.0,15.7,16.4,17.1,17.0,16.1,16.3,15.3,16.2,15.5,14.9,14.3,14.2,15.9,183.9,182.1,175.5,153.1,163.8,174.3,175.0,179.5,152.6,159.1,290.8,280.1,274.7,270.5,272.8,277.9,282.3,289.8,261.2,258.1,28.6,27.8,27.0,29.4,28.5,27.4,28.9,26.9,27.1,26.6,25.8,25.2,23.9,25.9,24.6,23.5,24.4,26.8,27.2,25.7,105.4,109.2,115.9,115.1,116.8,113.1,110.5,105.4,93.2,94.3,110.3,104.0,101.4,106.9,108.2,114.6,121.7,119.2,99.0,108.9
Public administration,19.3,19.6,17.3,15.7,14.6,14.6,15.5,17.6,16.7,20.0,7.8,7.5,6.9,7.4,7.1,7.3,7.2,8.2,8.3,9.1,27.3,26.4,25.9,26.0,26.3,28.9,29.5,31.1,30.5,31.0,23.8,22.8,22.8,24.1,24.3,24.2,25.7,25.6,27.2,30.6,221.9,216.6,214.7,224.8,219.9,233.7,242.9,252.6,240.2,263.8,364.4,365.0,360.5,344.8,350.0,360.2,351.1,371.7,388.2,411.6,35.3,33.4,34.2,33.4,32.3,33.5,35.9,37.2,36.1,37.9,30.1,31.5,30.7,29.0,29.5,29.9,30.8,31.6,33.8,36.7,96.1,96.0,91.7,95.6,94.1,98.6,106.3,112.1,103.8,103.2,102.7,106.6,108.5,107.2,111.9,105.4,109.0,121.7,121.0,137.6
