Geography,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Canada,34516032,34592192,34713395,34834973,34881794,34956567,35080992,35209597,35247023,35320540,35434066,35555305,35571043,35606734,35704498,35823591,35871484,35970407,36110803,36257421,36313068,36397141,36545075,36722075,36801579,36903671,37072620,37259485,37336956,37437243,37618495,37828162,37928208,38006941,38028638,38027406,38058291,38140918,38239864,38451454
Newfoundland and Labrador,526115,525550,526235,527065,527129,527177,526960,527948,528065,527314,527970,528266,528161,527859,528348,528843,528903,529083,529586,530368,530175,529700,529742,530153,529743,528924,528402,528926,528326,527993,527643,528442,528231,527733,526884,526046,525895,526195,527056,528335
Prince Edward Island,144208,144365,144415,144396,144041,143807,143942,143943,143828,143810,144095,144342,144162,144046,144636,144949,145238,145792,146891,147699,147811,148354,149740,150595,150619,151008,152259,153906,153881,154409,155792,157025,157494,158401,159193,159179,159240,160334,162133,163775
Nova Scotia,943907,943317,943163,942829,942045,940647,939808,939442,939166,938175,937768,938157,937442,935380,937419,938914,938973,940471,942984,946623,947023,948945,952159,956074,956711,957883,962072,967578,968724,970680,975799,982592,984130,986204,989168,989154,990025,993946,999908,1006805
New Brunswick,757039,757024,758121,758408,758026,757854,758261,758379,758713,758570,758657,759192,759270,758579,759226,759971,760679,762317,763322,764820,764612,764859,766697,768029,768146,768707,770497,772793,773059,774277,777387,780907,781054,782512,783432,783814,784950,787002,790802,795755
Quebec,8028516,8038332,8059752,8076838,8081006,8089004,8108825,8122462,8123138,8129926,8147535,8162631,8160176,8159968,8175743,8190074,8193831,8204229,8225036,8246383,8252179,8265839,8292832,8326075,8338883,8354460,8386951,8418646,8430363,8447632,8483186,8521542,8537376,8550900,8551095,8551865,8550561,8556015,8572020,8603553
Ontario,13325337,13350123,13392364,13436625,13446276,13469151,13511902,13559499,13563311,13583220,13617763,13661282,13657423,13669290,13709293,13759762,13774364,13816652,13876500,13948180,13975516,14012209,14078499,14161084,14199811,14251136,14326746,14413055,14449986,14493612,14573565,14666727,14718155,14752374,14761811,14757582,14772726,14808093,14842488,14942272
Manitoba,1241417,1244884,1249094,1253210,1256879,1259693,1263393,1267105,1270153,1272914,1277425,1281690,1284693,1286250,1293598,1298120,1302938,1307797,1314140,1319800,1324044,1328337,1334734,1340426,1344198,1346916,1352687,1357856,1361737,1364666,1370033,1373884,1377283,1379280,1380132,1381809,1383854,1388611,1391924,1396460
Saskatchewan,1073565,1077170,1083005,1088177,1090738,1093549,1098868,1102832,1105444,1108674,1111989,1115184,1117137,1117736,1122210,1125588,1128160,1131285,1135496,1139492,1141537,1143829,1147315,1151044,1152366,1153530,1156210,1159648,1161529,1161787,1164223,1167271,1169426,1169038,1167386,1165963,1166348,1167711,1167711,1168901
Alberta,3822425,3845093,3871947,3897746,3917941,3944281,3978532,4008421,4027497,4051858,4081271,4103702,4113697,4125943,4150147,4163048,4171847,4182353,4195427,4207139,4215506,4224933,4237310,4253530,4263957,4276444,4292556,4311439,4324254,4337569,4355377,4376860,4392958,4405455,4407495,4412013,4418338,4425617,4431531,4450442
British Columbia,4539775,4552320,4570866,4594846,4602742,4616335,4634943,4663919,4672025,4689892,4712691,4743505,4751439,4763917,4765472,4795547,4807562,4831042,4861269,4886638,4894147,4908971,4934202,4962706,4974712,4991716,5020979,5052131,5061132,5080515,5111022,5148047,5157053,5169535,5176101,5173896,5180015,5200393,5226665,5267184
Yukon,35695,35757,36151,36347,36299,36242,36454,36384,36333,36626,37085,37223,37123,37330,37669,37730,37756,38025,38549,38724,38801,39108,39533,39705,39873,40037,40403,40533,40716,40779,41187,41460,41505,41807,41958,42109,42157,42443,42961,43119
Northwest Territories 5,43630,43678,43624,43656,43709,43840,43774,43727,43767,43760,43851,44031,44106,44159,44247,44443,44515,44595,44624,44471,44471,44626,44656,44825,44730,44934,44536,44487,44675,44560,44442,44512,44533,44565,44504,44395,44432,44679,44579,44621
Nunavut 5,34403,34579,34658,34830,34963,34987,35330,35536,35583,35801,35966,36100,36214,36277,36490,36602,36718,36766,36979,37084,37246,37431,37656,37829,37830,37976,38322,38487,38574,38764,38839,38893,39010,39137,39479,39581,39750,39879,40086,40232
