"province","ioic_industry","year","count"
"Canada","Total, industries and households","2012",765177
"Canada","Total, industries and households","2013",774546
"Canada","Total, industries and households","2014",775519
"Canada","Total, industries and households","2015",780254
"Canada","Total, industries and households","2016",753719
"Canada","Total, industries and households","2017",766876
"Canada","Total, industries and households","2018",780372
"Canada","Total, industries and households","2019",775612
"Canada","Total, industries and households","2020",693849
"Canada","Total, industries and households","2021",708880
"Canada","Total, industries","2012",636925
"Canada","Total, industries","2013",639396
"Canada","Total, industries","2014",642314
"Canada","Total, industries","2015",647912
"Canada","Total, industries","2016",622641
"Canada","Total, industries","2017",632545
"Canada","Total, industries","2018",642939
"Canada","Total, industries","2019",639121
"Canada","Total, industries","2020",579689
"Canada","Total, industries","2021",594661
"Canada","Animal food manufacturing  [BS31110]","2012",254
"Canada","Animal food manufacturing  [BS31110]","2013",272
"Canada","Animal food manufacturing  [BS31110]","2014",457
"Canada","Animal food manufacturing  [BS31110]","2015",321
"Canada","Animal food manufacturing  [BS31110]","2016",341
"Canada","Animal food manufacturing  [BS31110]","2017",286
"Canada","Animal food manufacturing  [BS31110]","2018",384
"Canada","Animal food manufacturing  [BS31110]","2019",433
"Canada","Animal food manufacturing  [BS31110]","2020",434
"Canada","Animal food manufacturing  [BS31110]","2021",421
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2012",352
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2013",361
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2014",427
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2015",466
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2016",397
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2017",607
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2018",370
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2019",440
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2020",412
"Canada","Sugar and confectionery product manufacturing  [BS31130]","2021",484
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2012",805
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2013",625
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2014",485
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2015",526
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2016",457
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2017",595
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2018",484
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2019",472
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2020",502
"Canada","Fruit and vegetable preserving and specialty food manufacturing  [BS31140]","2021",493
"Canada","Dairy product manufacturing  [BS31150]","2012",451
"Canada","Dairy product manufacturing  [BS31150]","2013",540
"Canada","Dairy product manufacturing  [BS31150]","2014",343
"Canada","Dairy product manufacturing  [BS31150]","2015",385
"Canada","Dairy product manufacturing  [BS31150]","2016",383
"Canada","Dairy product manufacturing  [BS31150]","2017",392
"Canada","Dairy product manufacturing  [BS31150]","2018",434
