"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Total, all industries 6","Newfoundland and Labrador",239.9,241.9,239.6,239.6,234.5,225.7,226.7,229.9,215.5,222.8
"Goods-producing sector 7","Newfoundland and Labrador",54,56.4,56.7,56.6,52.5,46.8,47.1,47.9,43,45.7
"Agriculture 8","Newfoundland and Labrador",1.5,1.4,1.3,1.5,1.3,1.7,1.6,1.5,1.2,1.1
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Newfoundland and Labrador",17.1,17.6,17.9,16.6,15.2,13,13.4,14.3,13,14.8
"Forestry and logging and support activities for forestry","Newfoundland and Labrador",0.7,NA,0.9,1.2,0.8,1,0.8,0.8,0.8,0.9
"Fishing, hunting and trapping","Newfoundland and Labrador",3.9,3.9,3.2,3.5,3.5,3.1,3.8,3.6,3.5,3.7
"Mining, quarrying, and oil and gas extraction 9","Newfoundland and Labrador",12.5,13.5,13.8,11.8,10.9,8.9,8.8,9.8,8.7,10.2
"Utilities","Newfoundland and Labrador",2.8,2.8,2.8,2.4,2.9,3,3.3,3.3,3.2,2.4
"Construction","Newfoundland and Labrador",20.8,22.6,23.2,23.8,22.8,20.2,19.7,19.4,16.3,17
"Manufacturing","Newfoundland and Labrador",11.9,11.9,11.5,12.3,10.4,8.8,9,9.4,9.3,10.4
"Durables","Newfoundland and Labrador",3.5,4.2,4.9,4.5,3.6,3.3,2.8,2.9,3,3.2
"Non-durables","Newfoundland and Labrador",8.3,7.7,6.6,7.8,6.7,5.5,6.2,6.6,6.3,7.2
"Services-producing sector 11","Newfoundland and Labrador",185.8,185.5,182.9,183.1,182,179,179.7,182,172.5,177.1
"Wholesale and retail trade","Newfoundland and Labrador",37.1,36.6,38.6,41.6,42.3,39.6,37.4,37,35.3,38.1
"Wholesale trade","Newfoundland and Labrador",4.9,5.3,5.9,5.2,6.3,4.7,5.6,5.4,4.9,5.9
"Retail trade","Newfoundland and Labrador",32.2,31.2,32.6,36.4,35.9,35,31.8,31.6,30.4,32.2
"Transportation and warehousing","Newfoundland and Labrador",10.8,10.9,11.4,10.9,10.3,11.7,12.5,11.3,9.7,8
"Finance, insurance, real estate, rental and leasing","Newfoundland and Labrador",9.3,8.9,9.2,9,8.5,7.6,7.8,7.4,7.6,6.9
"Finance and insurance","Newfoundland and Labrador",5.9,5.7,6.5,5.6,5.2,5.5,5.4,4.3,5.2,4.9
"Real estate and rental and leasing","Newfoundland and Labrador",3.4,3.3,2.7,3.5,3.4,2.2,2.5,3.1,2.4,2
"Professional, scientific and technical services","Newfoundland and Labrador",10.1,9.7,11.4,12,10.4,9.8,10.6,9.9,9,11.3
"Business, building and other support services 12","Newfoundland and Labrador",6.9,6.6,5.9,6.7,6.3,6.8,6.1,7.5,6.5,6.6
"Educational services","Newfoundland and Labrador",17.5,17.5,17.3,15.1,15.1,15.4,15.7,16.9,16.9,16.5
"Health care and social assistance","Newfoundland and Labrador",38.2,38.7,37.4,36.9,39,41,40.9,40,40.4,43.1
"Information, culture and recreation","Newfoundland and Labrador",7.3,6.7,7.7,7.4,7.5,6.8,6.9,7.9,5.7,6
"Accommodation and food services","Newfoundland and Labrador",14.9,15.9,14.9,15.1,15.8,14.7,16.4,16.7,14.3,11.9
"Other services (except public administration)","Newfoundland and Labrador",14.4,14.3,11.8,12.7,12.1,10.8,9.9,10,10.5,8.6
